x, y
813.2362297678436, 11.438412616720369
62469.15546744977, 1.0364878184875506
56134.00205343466, 5.199400928447667
51531.68025475176, 208.48083983269325
47306.694209156165, 4231.157034510023
42966.19894204426, 39033.697192086736
34324.46012840273, 573792.495372754
22619.821012267304, 3699077.115232779
19684.19447286611, 3699077.115232779
14747.915824552176, 1872291.82419888
11656.373838238764, 851061.7841180667
10700.689556931746, 446483.53443920804
8640.373330458888, 62197.69911105609
7599.8488269481795, 45050.17662798686
5942.836855597812, 89005.39715441251
5116.563026270094, 182263.78678448912
4311.961977256241, 415601.43918187125
3162.2776601683795, 792196.0722614703
2420.47682485634, 686397.788331968
2061.776029117677, 347420.9720986757
1260.7216039536956, 6988.081745554309
1051.1672621234338, 680.2754916954644
38198.23917162295, 202951.84142128093
28314.727340526893, 1681438.2932144427
16767.109645453755, 2584945.3264355906
2636.650898730358, 851061.7841180667
3712.4399945003042, 616429.2931060073
4747.561378997425, 280201.7330807458
5397.56824877244, 132014.7835833272
6613.53165407017, 57895.647365413635
1403.0037231905735, 23634.197261974303
1544.7367870918813, 50163.64722968637
1664.800620613075, 95619.12101145819
13111.33937421563, 1308372.8319034786
9718.8772964651, 182263.78678448912
1157.3573985221428, 2219.7471238742346
934.5192145605374, 156.51376157312234
