Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
2028-Aug-24 ,1.09E+06,-3.57E+06,-1.51E+06,-3.35E+05,-1.29E+05,-3.25E+04,4.12E+03,1.58E+03,3.99E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-25 ,1.09E+06,-3.58E+06,-1.50E+06,-2.96E+05,-2.11E+05,-3.20E+04,3.65E+03,2.59E+03,3.94E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-26 ,1.09E+06,-3.58E+06,-1.49E+06,-2.40E+05,-2.81E+05,-2.97E+04,2.95E+03,3.45E+03,3.65E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-27 ,1.09E+06,-3.59E+06,-1.48E+06,-1.70E+05,-3.34E+05,-2.56E+04,2.09E+03,4.11E+03,3.15E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-28 ,1.10E+06,-3.59E+06,-1.48E+06,-9.09E+04,-3.70E+05,-2.02E+04,1.12E+03,4.55E+03,2.48E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-29 ,1.11E+06,-3.59E+06,-1.47E+06,-6.75E+03,-3.86E+05,-1.37E+04,8.30E+01,4.75E+03,1.68E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-30 ,1.12E+06,-3.60E+06,-1.46E+06,7.79E+04,-3.82E+05,-6.45E+03,-9.58E+02,4.70E+03,7.93E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Aug-31 ,1.13E+06,-3.60E+06,-1.44E+06,1.59E+05,-3.60E+05,1.08E+03,-1.95E+03,4.43E+03,-1.32E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-01 ,1.14E+06,-3.61E+06,-1.43E+06,2.33E+05,-3.21E+05,8.55E+03,-2.86E+03,3.95E+03,-1.05E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-02 ,1.15E+06,-3.61E+06,-1.42E+06,2.96E+05,-2.67E+05,1.56E+04,-3.64E+03,3.29E+03,-1.92E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-03 ,1.17E+06,-3.61E+06,-1.41E+06,3.46E+05,-2.01E+05,2.20E+04,-4.25E+03,2.47E+03,-2.70E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-04 ,1.19E+06,-3.61E+06,-1.40E+06,3.80E+05,-1.26E+05,2.74E+04,-4.67E+03,1.55E+03,-3.36E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-05 ,1.20E+06,-3.61E+06,-1.38E+06,3.98E+05,-4.51E+04,3.15E+04,-4.89E+03,5.55E+02,-3.87E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-06 ,1.22E+06,-3.62E+06,-1.37E+06,3.98E+05,3.76E+04,3.42E+04,-4.89E+03,-4.62E+02,-4.21E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-07 ,1.24E+06,-3.62E+06,-1.36E+06,3.80E+05,1.18E+05,3.54E+04,-4.68E+03,-1.46E+03,-4.35E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-08 ,1.27E+06,-3.61E+06,-1.34E+06,3.46E+05,1.94E+05,3.49E+04,-4.25E+03,-2.38E+03,-4.30E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-09 ,1.29E+06,-3.61E+06,-1.33E+06,2.95E+05,2.60E+05,3.29E+04,-3.63E+03,-3.20E+03,-4.04E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-10 ,1.32E+06,-3.61E+06,-1.31E+06,2.31E+05,3.14E+05,2.92E+04,-2.84E+03,-3.87E+03,-3.60E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-11 ,1.34E+06,-3.61E+06,-1.30E+06,1.56E+05,3.53E+05,2.42E+04,-1.92E+03,-4.34E+03,-2.98E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-12 ,1.37E+06,-3.61E+06,-1.28E+06,7.29E+04,3.74E+05,1.80E+04,-8.97E+02,-4.60E+03,-2.21E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-13 ,1.40E+06,-3.60E+06,-1.26E+06,-1.39E+04,3.75E+05,1.08E+04,1.70E+02,-4.61E+03,-1.32E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-14 ,1.43E+06,-3.60E+06,-1.25E+06,-9.99E+04,3.56E+05,2.99E+03,1.23E+03,-4.38E+03,-3.68E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-15 ,1.46E+06,-3.59E+06,-1.23E+06,-1.80E+05,3.16E+05,-4.96E+03,2.22E+03,-3.89E+03,6.10E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-16 ,1.49E+06,-3.58E+06,-1.21E+06,-2.50E+05,2.57E+05,-1.26E+04,3.07E+03,-3.16E+03,1.55E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Sep-17 ,1.53E+06,-3.57E+06,-1.19E+06,-3.04E+05,1.82E+05,-1.95E+04,3.74E+03,-2.24E+03,2.39E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
