Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
,,,,,,,,,
,,,,,,,,,
2028-Apr-30 ,3.05E+06,-1.44E+07,1.84E+05,-8.23E+04,3.63E+05,7.39E+03,1.01E+03,-4.46E+03,-9.09E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-01 ,3.17E+06,-1.42E+07,1.58E+05,-1.65E+05,3.31E+05,-4.14E+02,2.03E+03,-4.07E+03,5.09E+00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-02 ,3.28E+06,-1.39E+07,1.32E+05,-2.38E+05,2.79E+05,-8.19E+03,2.92E+03,-3.44E+03,1.01E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-03 ,3.38E+06,-1.37E+07,1.07E+05,-2.97E+05,2.12E+05,-1.55E+04,3.65E+03,-2.60E+03,1.91E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-04 ,3.48E+06,-1.35E+07,8.10E+04,-3.38E+05,1.31E+05,-2.19E+04,4.16E+03,-1.61E+03,2.69E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-05 ,3.57E+06,-1.33E+07,5.53E+04,-3.59E+05,4.27E+04,-2.69E+04,4.41E+03,-5.26E+02,3.31E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-06 ,3.66E+06,-1.31E+07,2.95E+04,-3.58E+05,-4.85E+04,-3.03E+04,4.40E+03,5.96E+02,3.73E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-07 ,3.74E+06,-1.29E+07,3.74E+03,-3.35E+05,-1.37E+05,-3.19E+04,4.12E+03,1.68E+03,3.92E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-08 ,3.82E+06,-1.27E+07,-2.20E+04,-2.92E+05,-2.17E+05,-3.15E+04,3.60E+03,2.67E+03,3.87E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-09 ,3.90E+06,-1.25E+07,-4.78E+04,-2.33E+05,-2.85E+05,-2.92E+04,2.86E+03,3.51E+03,3.60E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-10 ,3.97E+06,-1.23E+07,-7.35E+04,-1.60E+05,-3.36E+05,-2.53E+04,1.96E+03,4.14E+03,3.11E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-11 ,4.03E+06,-1.21E+07,-9.93E+04,-7.78E+04,-3.69E+05,-2.00E+04,9.57E+02,4.54E+03,2.45E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-12 ,4.09E+06,-1.19E+07,-1.25E+05,8.05E+03,-3.83E+05,-1.35E+04,-9.91E+01,4.71E+03,1.67E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-May-13 ,4.15E+06,-1.17E+07,-1.51E+05,9.33E+04,-3.76E+05,-6.41E+03,-1.15E+03,4.63E+03,7.89E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
