Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.9961213907200005,6.705791729190465e-30,2.4113218772104035e-80,-6.215429494411554e-14,1.721629626436131,9.480071500450048e-78
0.00005071143647110337,0.9961211668544161,0.00008730551572451392,2.4593296785698534e-80,-0.008828829218633592,1.7215825549201058,9.453559570859663e-78
0.00010136099057970167,0.9961204964012373,0.0001744997309109418,2.5071433862778865e-80,-0.017644864846255826,1.721441596970358,9.426563694932894e-78
0.00015210626731949878,0.9961193769801427,0.00026184918899408794,2.5549090377707268e-80,-0.026473514669859477,1.7212063006795166,9.399005753234456e-78
0.0002029520271535829,0.9961178061447584,0.0003493572395387584,2.6026277237883393e-80,-0.0353135549253407,1.7208762332280552,9.370886912419125e-78
0.0002539062677756408,0.9961157812388262,0.0004370327475049087,2.6503035090419312e-80,-0.044164303549448475,1.7204509512257782,9.34220666764347e-78
0.0003049718698954339,0.9961132996970057,0.0005248757142783412,2.697935603945722e-80,-0.05302416823558034,1.7199300644669537,9.312967514031688e-78
0.0003561573543543398,0.996110358607017,0.0006128957833555073,2.7455284244079873e-80,-0.061892514293235036,1.7193131445677738,9.283168885010875e-78
0.0004074674763879,0.9961069551265079,0.0007010960555228449,2.79308280371118e-80,-0.0707680315758449,1.7185998130841131,9.25281249780942e-78
0.000458907900282849,0.9961030862791589,0.0007894811287754166,2.840600358972357e-80,-0.07964954593032342,1.717789699290565,9.221899706017817e-78
0.0005104851170836545,0.9960987489231304,0.0008780569511648914,2.888083400686617e-80,-0.08853600358075941,1.7168824342167555,9.19043151280787e-78
0.0005622046861367198,0.9960939398872144,0.0009668277967690349,2.935533308041478e-80,-0.09742616745316922,1.7158776797680677,9.15840963578046e-78
0.0006140728803235638,0.996088655838987,0.0010557990886832253,2.9829520441123456e-80,-0.10631890068917946,1.714775101762877,9.125835514010028e-78
0.000666095200103529,0.9960828934260407,0.001144974846042024,3.030340792079457e-80,-0.11521291127384234,1.7135744000493973,9.092711234842885e-78
0.0007182795272806803,0.9960766489207724,0.001234363086103316,3.077702824073832e-80,-0.12410729065438039,1.7122752351655637,9.059037524383293e-78
0.0007706291048798872,0.996069919050105,0.0013239637947929119,3.1250371242072114e-80,-0.13300031651108085,1.7108774016373567,9.024818271344969e-78
0.0008231523881117736,0.996062699806001,0.0014137857959280937,3.1723473233397736e-80,-0.14189113094647482,1.7093805812123926,8.99005416433888e-78
0.0008758567610731749,0.9960549871632756,0.001503835979209246,3.2196359811785573e-80,-0.15077866696027772,1.7077844931003487,8.954746719583119e-78
0.0009287465653240205,0.9960467774442339,0.0015941159408740765,3.2669028450610764e-80,-0.15966132102152542,1.7060889697320774,8.918899676106336e-78
0.0009818279928754594,0.9960380666314483,0.001684630346214081,3.3141492500371763e-80,-0.168537780445518,1.704293814958302,8.882515746621291e-78
0.001035108302068271,0.9960288504270989,0.0017753855763714059,3.361377391332203e-80,-0.1774068868879359,1.702398817385077,8.84559709749809e-78
0.0010885927980615695,0.9960191247706648,0.0018663845807578485,3.408587644044878e-80,-0.18626713328142575,1.7004038575178977,8.808147440889052e-78
0.0011422892728917215,0.9960088850617149,0.0019576344345569137,3.4557824930416085e-80,-0.19511740204343977,1.6983087487210076,8.770168954504845e-78
0.0011962039815008494,0.9959981268733021,0.0020491394847979945,3.502962971381958e-80,-0.20395629678054034,1.696113384396643,8.731665087914784e-78
0.0012503426224250427,0.9959868458140891,0.002140903025179261,3.55012954145473e-80,-0.21278230874970602,1.693817709857111,8.692639911097075e-78
0.0013047117764614555,0.9959750372369398,0.002232929733825255,3.597283350417466e-80,-0.22159405253883685,1.691421663479855,8.653097086039752e-78
0.001359316341951998,0.9959626967938752,0.0023252213290074924,3.644424003431247e-80,-0.23038985056874672,1.6889252898481795,8.613041732181549e-78
0.0014141653977502362,0.9959498191107755,0.0024177864754323258,3.691554623326391e-80,-0.2391686777223245,1.686328472222501,8.572476127814954e-78
0.0014692630585486726,0.995936399874364,0.002510625330946426,3.7386739635191105e-80,-0.24792869098321382,1.6836313549074158,8.531406434209121e-78
0.0015246178946744368,0.9959224336351157,0.002603745444329722,3.785784506873468e-80,-0.25666873894514897,1.6808339005706805,8.489835741805729e-78
0.0015802355910051556,0.9959079155640844,0.0026971493731990227,3.832886171401382e-80,-0.26538719122418886,1.6779362444007677,8.447769523375881e-78
0.0016361216548076087,0.9958928408400437,0.002790839258692874,3.8799786465234236e-80,-0.27408237537166996,1.674938570405486,8.405213646052386e-78
0.0016922825492826491,0.9958772043399627,0.0028848187223024374,3.927062345152671e-80,-0.28275275343554396,1.6718410502448109,8.362173505554943e-78
0.001748724488778827,0.9958610009520492,0.0029790908394928773,3.974137381205686e-80,-0.29139673350415796,1.6686439060774538,8.318654936672706e-78
0.0018054548442886023,0.9958442251683935,0.0030736604828701768,4.0212047382300086e-80,-0.30001288489362915,1.6653473306554663,8.274663128136962e-78
0.0018624786214283182,0.995826872125784,0.0031685284479093787,4.0682633453521774e-80,-0.3085994036915783,1.6619516921839004,8.230205353514118e-78
0.0019198030067029755,0.9958089362690103,0.003263699031841584,4.1153138515537986e-80,-0.317154805007184,1.6584572716927195,8.1852874492349245e-78
0.001977433916337853,0.995790412385195,0.003359174283494218,4.162355768048222e-80,-0.32567740162307246,1.6548644660571052,8.139916496331895e-78
0.0020353777082454576,0.9957712950896749,0.0034549568517020968,4.209388883229871e-80,-0.33416556356840843,1.6511736873255087,8.094099487557729e-78
