x, y
11578.827829589036, 1.464508874745458
11092.541339180847, 3.5938136638046276
10401.135289015441, 9.433196243883716
9443.984801924938, 35.45745842465603
8667.387208628936, 91.00480585213043
7458.831692251294, 349.8320935775036
6018.7056679162315, 1760.4108438655526
4909.008553508973, 5169.52086322644
3635.4569498906794, 15180.516552972576
2810.3328764352896, 23252.611464087313
2267.723299039492, 23252.611464087313
1643.7603837707127, 11087.5172365954
1399.4672282630675, 5406.839398998053
1243.7139251308024, 2820.281104255995
1081.8361530040231, 1504.4851805905944
982.2816359222697, 858.4661927396835
921.055317689482, 391.3745601980384
854.4310429433233, 124.59957735881117
801.1737437837968, 37.08521316985505
1243.7139251308024, 2820.281104255995
3445.617628847243, 17368.65072759371
4003.9115231842666, 11339.160346796112
9858.000137488756, 20.69138081114789
