Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,1.1147794104220352,3.58391864684352e-28,-0.19104297734542638,-1.7528361688168769e-15,-0.22331222002959492,1.5400367361221636e-14
0.004070198718386411,1.1147777111696364,-0.0009089188232573738,-0.19104033704996617,-0.0008349694848368627,-0.22330758499196648,0.0012973788331781218
0.013514749410934085,1.1147606766204956,-0.003017778483290761,-0.1910138677438272,-0.0027722315205020507,-0.22326111781729777,0.004307815757821119
0.022964314103043143,1.1147253247637767,-0.005127082521028288,-0.19095892979251214,-0.004709832449264446,-0.22316467175613186,0.007319784585362471
0.032418527635417395,1.1146716376793766,-0.007236275867125851,-0.19087548250939065,-0.006647213754252384,-0.2230181714907517,0.010333122362704507
0.04187698204147081,1.1145996052251277,-0.009344792667334895,-0.19076349060156617,-0.008583806896030404,-0.22282154912517077,0.013347652279117881
0.05133927026629349,1.1145092250111317,-0.0114520662351818,-0.19062292410780451,-0.010519042479320992,-0.2225747440460269,0.01636319758157306
0.06080497403237517,1.114400502557533,-0.013557526544242419,-0.19045375862780037,-0.012452347974218618,-0.22227770328865784,0.01937957768750928
0.07027367655162196,1.1142734512313395,-0.015660603259285772,-0.19025597521409782,-0.014383150524466742,-0.22193038130451487,0.02239661221588544
0.07974496211008851,1.1141280922456227,-0.017760725837442815,-0.19002956036704402,-0.016310877064060935,-0.22153273990295613,0.025414120833440277
0.08921840626912818,1.1139644548303804,-0.01985732155469775,-0.1897745063034994,-0.01823495252981693,-0.2210847486673256,0.02843192011132044
0.09869358189765245,1.1137825761929634,-0.02194981705277382,-0.1894908109045538,-0.02015480130605358,-0.22058638480083814,0.03144982542571555
0.10817005883653287,1.1135825015448075,-0.02403763847124331,-0.18917847777296248,-0.022069847369961704,-0.22003763315853334,0.034467650828682694
0.11764739981305598,1.113364284217331,-0.026120210759538874,-0.18883751643666002,-0.023979513684935113,-0.21943848652931833,0.03748520772456825
0.12712516301420215,1.1131279856474692,-0.0281969584634744,-0.1884679423559563,-0.025883222946678414,-0.2187889455665645,0.04050230566683093
0.13660289926306282,1.1128736754787185,-0.030267305328638444,-0.18806977711839207,-0.027780397244171685,-0.21808901904187902,0.04351875143587066
0.14608015485049416,1.1126014315214303,-0.032330675148205555,-0.18764304842088117,-0.02967045886133093,-0.21733872371846505,0.04653434991665252
0.15555646984302768,1.1123113398184852,-0.034386491622191616,-0.18718779022407542,-0.031552830172130404,-0.2165380845205652,0.04954890353548945
0.16503137899020356,1.1120034946379567,-0.036434178788350084,-0.18670404279999495,-0.033426934059275895,-0.21568713450869165,0.05256221252340822
0.1745044028779996,1.1116779987944216,-0.038473159356643805,-0.18619185330457083,-0.03529219241467192,-0.21478591577190087,0.05557407207748691
0.18397505556544047,1.11133496345106,-0.040502856621553576,-0.1856512755435452,-0.037148027915313235,-0.21383447889505888,0.05858427476471675
0.19344284314709265,1.110974508184217,-0.04252269440640511,-0.1850823701583864,-0.03899386399649094,-0.2128328831583356,0.06159261003803823
0.20290725974017704,1.1105967611631153,-0.04453209647463216,-0.18448520500360194,-0.04082912433877127,-0.21178119706776327,0.06459886293441067
0.21236778511129245,1.1102018592973955,-0.046530486317212384,-0.18385985548455122,-0.04265323270069208,-0.21067949881096582,0.06760281329521568
0.22182389462393973,1.1097899478556423,-0.04851728954511939,-0.18320640406691135,-0.04446561512865136,-0.20952787524767702,0.07060423889764307
0.2312750428671452,1.109361181186541,-0.05049193073581386,-0.18252494154294985,-0.04626569710503251,-0.20832642398996132,0.07360291022910892
0.24072067089570365,1.1089157224750794,-0.05245383529308465,-0.18181556678242083,-0.048052905274288626,-0.20707525280826294,0.07659859276015
0.2501602025571018,1.108453743956249,-0.05440242901779842,-0.18107838722023295,-0.04982666708034332,-0.2057744803310149,0.07959104575225609
0.25959305076098327,1.1079754266465824,-0.05633713974840586,-0.18031351858731767,-0.05158641228897396,-0.2044242354046747,0.08258002421788342
0.26901860130922034,1.1074809611977336,-0.05825739440307262,-0.17952108644731124,-0.05333157032712858,-0.20302465963729446,0.08556527376894354
0.278436223765241,1.106970547421209,-0.06016262161800363,-0.1787012256265598,-0.05506157271693936,-0.20157590622165966,0.08854653403708075
0.2878452630561562,1.1064443947834035,-0.06205225045000945,-0.17785408121057927,-0.05677585193069528,-0.20007814152139425,0.09152353598897678
0.2972450409553618,1.1059027223988571,-0.06392571112719178,-0.1769798087543264,-0.05847384211013186,-0.19853154526780376,0.09449600237332817
0.3066348554902586,1.1053457591214502,-0.06578243539130689,-0.1760785746652519,-0.06015497941528233,-0.1969363110608583,0.09746364751078376
0.3160139741035844,1.1047737440157537,-0.06762185563919662,-0.17515055722102396,-0.061818701288977554,-0.19529264799459398,0.10042617511213818
