Date,CD3 X [km],CD3 Y [km],CD3 Z [km],L2 X [km],L2 Y [km],L2 Z [km],,X-X,Y-Y,Z-Z,mag
2020-Jan-26 ,-3.32E+05,-4.46E+05,1.20E+06,3.43E+05,-3.13E+05,-2.71E+04,,-6.75E+05,-1.33E+05,1.23E+06,1.41E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-27 ,-3.11E+05,-4.32E+05,1.18E+06,4.04E+05,-2.35E+05,-3.35E+04,,-7.15E+05,-1.97E+05,1.21E+06,1.42E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-28 ,-2.89E+05,-4.17E+05,1.14E+06,4.47E+05,-1.46E+05,-3.85E+04,,-7.36E+05,-2.71E+05,1.18E+06,1.42E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-29 ,-2.67E+05,-4.02E+05,1.11E+06,4.68E+05,-5.05E+04,-4.16E+04,,-7.36E+05,-3.51E+05,1.15E+06,1.41E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-30 ,-2.45E+05,-3.85E+05,1.08E+06,4.69E+05,4.70E+04,-4.29E+04,,-7.14E+05,-4.32E+05,1.12E+06,1.40E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-31 ,-2.22E+05,-3.68E+05,1.04E+06,4.49E+05,1.42E+05,-4.22E+04,,-6.71E+05,-5.11E+05,1.08E+06,1.37E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-01 ,-1.99E+05,-3.51E+05,9.99E+05,4.08E+05,2.31E+05,-3.96E+04,,-6.07E+05,-5.81E+05,1.04E+06,1.34E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-02 ,-1.76E+05,-3.32E+05,9.57E+05,3.48E+05,3.08E+05,-3.51E+04,,-5.24E+05,-6.41E+05,9.92E+05,1.29E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-03 ,-1.52E+05,-3.13E+05,9.11E+05,2.72E+05,3.72E+05,-2.90E+04,,-4.24E+05,-6.84E+05,9.40E+05,1.24E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-04 ,-1.27E+05,-2.93E+05,8.63E+05,1.83E+05,4.17E+05,-2.15E+04,,-3.10E+05,-7.09E+05,8.84E+05,1.18E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-05 ,-1.02E+05,-2.72E+05,8.10E+05,8.42E+04,4.40E+05,-1.29E+04,,-1.86E+05,-7.12E+05,8.23E+05,1.10E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-06 ,-7.67E+04,-2.50E+05,7.54E+05,-1.92E+04,4.41E+05,-3.59E+03,,-5.75E+04,-6.91E+05,7.58E+05,1.03E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-07 ,-5.06E+04,-2.26E+05,6.93E+05,-1.22E+05,4.17E+05,5.91E+03,,7.11E+04,-6.43E+05,6.87E+05,9.44E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-08 ,-2.40E+04,-2.01E+05,6.26E+05,-2.17E+05,3.69E+05,1.50E+04,,1.93E+05,-5.71E+05,6.11E+05,8.58E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-09 ,3.14E+03,-1.75E+05,5.53E+05,-3.00E+05,2.99E+05,2.33E+04,,3.03E+05,-4.74E+05,5.30E+05,7.73E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-10 ,3.04E+04,-1.45E+05,4.71E+05,-3.64E+05,2.11E+05,3.00E+04,,3.94E+05,-3.56E+05,4.41E+05,6.90E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-11 ,5.71E+04,-1.12E+05,3.77E+05,-4.05E+05,1.09E+05,3.49E+04,,4.62E+05,-2.21E+05,3.42E+05,6.16E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-12 ,8.09E+04,-7.41E+04,2.63E+05,-4.21E+05,3.84E+02,3.75E+04,,5.01E+05,-7.45E+04,2.26E+05,5.55E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-13 ,9.11E+04,-2.55E+04,1.13E+05,-4.09E+05,-1.08E+05,3.77E+04,,5.01E+05,8.25E+04,7.50E+04,5.13E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-14 ,-7.30E+04,6.70E+03,-4.65E+04,-3.73E+05,-2.10E+05,3.56E+04,,3.00E+05,2.16E+05,-8.21E+04,3.79E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-15 ,-2.34E+05,-3.72E+04,3.74E+04,-3.14E+05,-2.98E+05,3.13E+04,,8.02E+04,2.61E+05,6.08E+03,2.73E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-16 ,-3.31E+05,-7.39E+04,1.19E+05,-2.37E+05,-3.70E+05,2.52E+04,,-9.42E+04,2.96E+05,9.37E+04,3.24E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-17 ,-4.05E+05,-1.06E+05,1.93E+05,-1.46E+05,-4.20E+05,1.76E+04,,-2.59E+05,3.14E+05,1.75E+05,4.43E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-18 ,-4.67E+05,-1.34E+05,2.60E+05,-4.71E+04,-4.48E+05,9.10E+03,,-4.19E+05,3.14E+05,2.51E+05,5.81E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-19 ,-5.19E+05,-1.59E+05,3.23E+05,5.43E+04,-4.52E+05,1.03E+02,,-5.74E+05,2.93E+05,3.23E+05,7.21E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-20 ,-5.66E+05,-1.82E+05,3.82E+05,1.53E+05,-4.33E+05,-8.90E+03,,-7.20E+05,2.51E+05,3.91E+05,8.56E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-21 ,-6.09E+05,-2.04E+05,4.37E+05,2.45E+05,-3.93E+05,-1.75E+04,,-8.53E+05,1.89E+05,4.55E+05,9.85E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-22 ,-6.47E+05,-2.23E+05,4.90E+05,3.25E+05,-3.34E+05,-2.52E+04,,-9.72E+05,1.11E+05,5.15E+05,1.11E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-23 ,-6.83E+05,-2.41E+05,5.40E+05,3.90E+05,-2.59E+05,-3.17E+04,,-1.07E+06,1.86E+04,5.72E+05,1.22E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-24 ,-7.16E+05,-2.57E+05,5.88E+05,4.37E+05,-1.73E+05,-3.68E+04,,-1.15E+06,-8.43E+04,6.24E+05,1.31E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-25 ,-7.47E+05,-2.72E+05,6.33E+05,4.65E+05,-7.87E+04,-4.01E+04,,-1.21E+06,-1.94E+05,6.73E+05,1.40E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-26 ,-7.77E+05,-2.87E+05,6.77E+05,4.72E+05,1.89E+04,-4.17E+04,,-1.25E+06,-3.05E+05,7.18E+05,1.47E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-27 ,-8.05E+05,-3.00E+05,7.18E+05,4.58E+05,1.16E+05,-4.14E+04,,-1.26E+06,-4.15E+05,7.60E+05,1.53E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-28 ,-8.32E+05,-3.12E+05,7.58E+05,4.24E+05,2.07E+05,-3.92E+04,,-1.26E+06,-5.19E+05,7.97E+05,1.58E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Feb-29 ,-8.58E+05,-3.23E+05,7.97E+05,3.71E+05,2.89E+05,-3.52E+04,,-1.23E+06,-6.12E+05,8.32E+05,1.61E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Mar-01 ,-8.83E+05,-3.34E+05,8.33E+05,3.00E+05,3.57E+05,-2.96E+04,,-1.18E+06,-6.91E+05,8.63E+05,1.62E+06
